block,trial,!Condition,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,28,,F-WN-Fly,2,2,1,Stimuli\TargetPosition15.bmp,"0,0,1",500,!Audio\F-WN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition15.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,29,,M-NN-Fly,2,2,1,Stimuli\TargetPosition16.bmp,"0,0,1",500,!Audio\M-NN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition16.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,30,,F-NN-Fly,2,2,1,Stimuli\TargetPosition17.bmp,"0,0,1",500,!Audio\F-NN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition17.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,31,,M-WN-Fly,2,2,1,Stimuli\TargetPosition18.bmp,"0,0,1",500,!Audio\M-WN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition18.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,32,,F-WN-Fly,2,2,1,Stimuli\TargetPosition19.bmp,"0,0,1",500,!Audio\F-WN-Fly.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition19.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,33,,M-NN-Fly,2,2,1,Stimuli\TargetPosition20.bmp,"0,0,1",500,!Audio\M-NN-Fly.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition20.bmp,"0,0,1","rt:num<101,alpha<201",*,,,,,,,,,,,,,,,,,,
1,34,,M-WN-ant,2,2,1,Stimuli\TargetPosition21.bmp,"0,0,1",500,!Audio\M-WN-ant.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition21.bmp,"0,0,1","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,35,,F-NN-ball,2,2,1,Stimuli\TargetPosition22.bmp,"0,0,1",500,!Audio\F-NN-ball.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition22.bmp,"0,0,1","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,36,,M-NN-bean,2,2,1,Stimuli\TargetPosition23.bmp,"0,0,1",500,!Audio\M-NN-bean.wav,"0,0,0",0,_Animation\GreenFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition23.bmp,"0,0,1","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
1,37,,F-WN-bed,2,2,1,Stimuli\TargetPosition24.bmp,"0,0,1",500,!Audio\F-WN-bed.wav,"0,0,0",0,_Animation\LadyFrogSpeak.gif(1024x294),"0,.9,0",1500,Stimuli\TargetPosition24.bmp,"0,0,1","rt:-1,any<201",*,,,,,,,,,,,,,,,,,,
