block,trial,!Item,bgr,wgr,style,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,stim,loc,time,*
1,38,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\3_6-2back-foot_drum_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\foot_drum.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\3_6-2back-foot_drum_framed.bmp,"0,.9,0","rt: 3<131,1<231,2<231,4<231,5<231,6<231",*,,,,,,,,,,,,
1,39,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\4_3-2back-duck_spring_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\duck_spring.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\4_3-2back-duck_spring_framed.bmp,"0,.9,0","rt: 4<132,1<232,2<232,3<232,5<232,6<232",*,,,,,,,,,,,,
1,40,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\4_6-2back-camera_baseball_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\camera_baseball.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\4_6-2back-camera_baseball_framed.bmp,"0,.9,0","rt: 4<133,1<233,2<233,3<233,5<233,6<233",*,,,,,,,,,,,,
1,41,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\4_6-2back-gloves_sock_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\gloves_sock.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\4_6-2back-gloves_sock_framed.bmp,"0,.9,0","rt: 4<134,1<234,2<234,3<234,5<234,6<234",*,,,,,,,,,,,,
1,42,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\5_6-2back-dress_cat_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\dress_cat.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\5_6-2back-dress_cat_framed.bmp,"0,.9,0","rt: 5<135,1<235,2<235,3<235,4<235,6<235",*,,,,,,,,,,,,
1,43,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,2-back\Arrays\framed\5_6-2back-shell_tire_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!2-back\Audio\shell_tire.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,2-back\Arrays\framed\5_6-2back-shell_tire_framed.bmp,"0,.9,0","rt: 5<136,1<236,2<236,3<236,4<236,6<236",*,,,,,,,,,,,,
1,44,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\1-3back-basket_baseball_toiletpaper_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\basket_baseball_toiletpaper.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\1-3back-basket_baseball_toiletpaper_framed.bmp,"0,.9,0","rt: 1<137,2<237,3<237,4<237,5<237,6<237",*,,,,,,,,,,,,
1,45,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\2-3back-paperclip_bathtub_tire_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\paperclip_bathtub_tire.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\2-3back-paperclip_bathtub_tire_framed.bmp,"0,.9,0","rt: 2<138,1<238,3<238,4<238,5<238,6<238",*,,,,,,,,,,,,
1,46,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\3-3back-purse_box_iceskate_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\purse_box_iceskate.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\3-3back-purse_box_iceskate_framed.bmp,"0,.9,0","rt: 3<139,1<239,2<239,4<239,5<239,6<239",*,,,,,,,,,,,,
1,47,,2,2,1,Background\Base_Adult_children_dog.bmp,"0,0,0",0,3-back\Arrays\framed\4-3back-fan_broccoli_toaster_framed.bmp,"0,.9,0",0,!Audio\Go_get_the.wav,"0,0,0",2500,!3-back\Audio\fan_broccoli_toaster.wav,"0,0,0",2500,!Audio\DING.wav,"0,0,0",250,3-back\Arrays\framed\4-3back-fan_broccoli_toaster_framed.bmp,"0,.9,0","rt: 4<140,1<240,2<240,3<240,5<240,6<240",*,,,,,,,,,,,,
