block,trial,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,*
-1,120,Mf1,0,0,9,~Acquisition...rabotnitsoj2.wav,"0,0,0",2174,!Male/feminine/rabotnitsoj2.wav,"0,0,0",rt:5,*
-1,121,Ff1,0,0,9,~Acquisition...stranistsaoj2.wav,"0,0,0",2096,!Female/feminine/stranistsaoj2.wav,"0,0,0",rt:5,*
-1,122,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,123,Fm2,0,0,9,~Acquisition...predatelyem2.wav,"0,0,0",2088,!Female/feminine/predatelyem2.wav,"0,0,0",rt:5,*
-1,124,Fm1,0,0,9,~Acquisition...vratarya2.wav,"0,0,0",2063,!Female/feminine/vratarya2.wav,"0,0,0",rt:5,*
-1,125,Mf1,0,0,9,~Acquisition...uchenitsoj2.wav,"0,0,0",2050,!Male/feminine/uchenitsoj2.wav,"0,0,0",rt:5,*
-1,126,Ff1,0,0,9,~Acquisition...dorogau2.wav,"0,0,0",2030,!Female/feminine/dorogau2.wav,"0,0,0",rt:5,*
-1,127,Fm1,0,0,9,~Acquisition...olenya2.wav,"0,0,0",2145,!Female/masculine/olenya2.wav,"0,0,0",rt:5,*
-1,128,Mm1,0,0,9,~Acquisition...tjulyem2.wav,"0,0,0",2139,!Male/masculine/tjulyem2.wav,"0,0,0",rt:5,*
-1,129,Fm1,0,0,9,~Acquisition...konya2.wav,"0,0,0",2088,!Female/masculine/konya2.wav,"0,0,0",rt:5,*
-1,130,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,131,Fm1,0,0,9,~Acquisition...ogonya2.wav,"0,0,0",2084,!Female/masculine/ogonya2.wav,"0,0,0",rt:5,*
-1,132,Mf1,0,0,9,~Acquisition...zabavoy2.wav,"0,0,0",2175,!Male/feminine/zabavoy2.wav,"0,0,0",rt:5,*
-1,133,Mm2,0,0,9,~Acquisition...grabitelyem2.wav,"0,0,0",2095,!Male/masculine/grabitelyem2.wav,"0,0,0",rt:5,*
-1,134,Ff1,0,0,9,~Acquisition...kozhau2.wav,"0,0,0",2108,!Female/feminine/kozhau2.wav,"0,0,0",rt:5,*
-1,135,Fm2,0,0,9,~Acquisition...dvigatelyem2.wav,"0,0,0",2034,!Female/masculine/dvigatelyem2.wav,"0,0,0",rt:5,*
