310250	45.32
310251	41.56
310252	X
310253	X
310254	X
310255	59.73
310256	59.73
310257	53.7
310258	X
310259	54.53
310260	42.62
310261	47.66
310262	X
310263	37.28
310264	X
310265	X
310266	37.28
310267	49.88
310268	X
310269	55.42
310270	37.28
310271	40.37
310272	46.13
310273	41.56
310274	55.42
310275	62.96
310276	61.19
310277	51.36
310278	55.42
310279	25.09
310280	43.58
310281	52.89
310282	X
310283	57.37
310284	57.37
310285	X
310286	61.19
310287	X
310288	35
310289	57.37
310290	X
310291	X
310292	X
310293	52.12
310294	52.12
310295	55.42
310296	42.62
310297	55.42
310298	56.36
310299	61.19
310301	X
310302	53.7
310303	59.73
310304	X
310305	38.98
310306	56.36
310307	53.7
310308	52.12
310309	X
310310	69.12
310311	52.12
310312	55.42
310313	44.48
310314	58.48
310315	55.42
310316	X
310317	X
310318	X
310320	45.32
310321	43.58
310322	50.61
310323	48.41
310324	49.14
310325	46.13
310326	52.89
310327	X
310328	X
310329	37.28
310330	X
310331	69.12
310332	X
310333	59.73
310334	49.14
310335	62.96
310336	X
310337	X
310338	58.48
310339	57.37
310340	49.14
310341	53.7
310343	X
310344	43.58
310345	X
310347	X
310348	52.89
310349	59.73
310350	53.7
310351	55.42
310352	46.91
310353	58.48
310354	X
310355	52.89
310356	X
310357	49.14
310359	X
310360	X
310361	X
310362	42.62
310363	55.42
310364	X
310365	57.37
310366	X
310367	37.28
310368	58.48
310369	52.12
310370	X
310371	25.09
310372	41.56
310373	X
310374	56.36
310375	X
310376	69.12
310377	51.36
310378	54.53
310379	59.73
310380	X
310381	57.37
310382	X
310383	X
310384	58.48
310385	45.32
310386	X
310388	53.7
310389	X
310390	52.89
310391	55.42
310392	45.32
310393	55.42
310394	44.48
310395	44.48
310396	62.96
310397	69.12
310398	62.96
310399	52.89
310401	55.42
310402	X
310403	X
310404	X
310405	X
310406	X
310407	X
310408	X
310409	54.53
310410	46.91
310411	47.66
310412	25.09
310413	40.37
310414	46.91
310415	43.58
310416	42.62
310417	35
310418	35
310419	49.14
310420	51.36
310421	56.36
310422	57.37
310423	51.36
310424	47.66
310425	25.09
310426	49.14
310427	58.48
310428	49.14
310429	48.41
310430	44.48
310431	53.7
310432	75.37
310433	62.96
310434	56.36
310435	56.36
310501	46.91
310502	X
310503	X
310504	51.36
310505	46.13
310506	X
310601	X
310602	55.42
310603	51.36
310604	56.36
310605	X
310606	X
310607	X
310608	52.12
310609	56.36
310610	57.37
310611	55.42
310612	X
310613	X
310614	59.73
310615	45.32
310616	61.19
310617	X
310618	52.89
310619	X
310620	54.53
310621	X
310622	52.12
310623	62.96
310624	61.19
310625	55.42
310626	46.13
310627	X
310628	55.42
310629	X
310630	48.41
310631	56.36
310632	X
310633	X
310634	45.32
310635	65.32
310636	59.73
310637	X
310638	59.73
310639	X
310640	X
310642	X
310643	52.89
310644	58.48
310645	56.36
310646	59.73
310647	50.61
310648	44.48
310649	53.7
310650	61.19
310651	55.42
310652	58.48
310653	X
310701	X
310702	40.37
310703	59.73
310704	25.09
310705	56.36
310706	46.13
310801	46.91
310802	X
310803	X
310804	X
310805	X
310806	55.42
310807	56.36
310808	56.36
310809	37.28
310810	46.91
310811	25.09
310812	X
310813	50.61
310814	58.48
310815	58.48
310816	25.09
310817	56.36
310901	X
311001	62.96
311002	61.19
311004	49.88
311005	55.42
311101	51.36
311102	X
311103	X
311104	25.09
311105	65.32
311106	59.73
311107	51.36
311108	58.48
311109	56.36
311110	X
311111	58.48
311112	59.73
311301	50.61
311401	25.09
311402	X
311403	X
311404	55.42
311405	37.28
311406	56.36
311407	62.96
311408	X
311409	X
311501	X
311502	X
311503	X
311504	X
311505	X
311506	55.42
311507	58.48
311508	X
311509	58.48
311510	61.19
311511	59.73
311512	X
311513	X
311514	52.89
311515	54.53
311516	54.53
311517	59.73
311518	55.42
311519	58.48
311520	62.96
311521	X
311522	X
311601	47.66
311602	52.89
311603	46.91
311604	55.42
311605	35
311607	54.53
311608	49.14
311609	X
311610	X
311611	X
311701	62.96
311702	57.37
311703	55.42
311704	X
311901	X
311902	X
311903	25.09
311904	X
312201	58.48
312202	61.19
312203	X
312270	X
312273	X
312275	X
312277	45.32
312287	X
312288	38.98
312289	51.36
312290	X
312291	X
312292	X
312293	X
312294	46.13
312295	X
312296	X
312297	X
312298	38.98
312299	X
313301	55.42
313302	X
313303	69.12
313304	58.48
313305	38.98
313306	X
313399	X
320101	52.89
320102	53.7
320103	X
320104	57.37
320105	53.7
320106	50.61
320301	75.37
320302	61.19
320303	61.19
320304	46.13
320305	42.62
320306	46.91
320307	58.48
320308	62.96
320309	56.36
320310	X
330101	47.66
330102	46.13
330103	48.41
330104	52.89
330105	61.19
340201	53.7
340202	54.53
340203	53.7
340204	X
340205	X
340206	X
340207	X
340208	X
340209	X
340210	52.12
340701	X
340702	54.53
340703	38.98
340704	25.09
340801	X
340802	47.66
340803	43.58
340804	50.61
340805	31.28
340806	51.36
