block,trial,!item,bgr,wgr,style,stim,loc,time,stim,loc,time,*
-1,67,Mf1,0,0,9,~Acquisition...uchenitsoj2.wav,"0,0,0",2125,!Male/feminine/uchenitsoj2.wav,"0,0,0",rt:5,*
-1,68,Ff1,0,0,9,~Acquisition...krazhau2.wav,"0,0,0",2154,!Female/feminine/krazhau2.wav,"0,0,0",rt:5,*
-1,69,Ff2,0,0,9,~Acquisition...telnjashkau2.wav,"0,0,0",2068,!Female/feminine/telnjashkau2.wav,"0,0,0",rt:5,*
-1,70,Mm2,0,0,9,~Acquisition...sozidatelyem2.wav,"0,0,0",2048,!Male/masculine/sozidatelyem2.wav,"0,0,0",rt:5,*
-1,71,Mf1,0,0,9,~Acquisition...koritsu2.wav,"0,0,0",2181,!Male/feminine/koritsu2.wav,"0,0,0",rt:5,*
-1,72,Fm1,0,0,9,~Acquisition...korablyem2.wav,"0,0,0",2001,!Female/feminine/korablyem2.wav,"0,0,0",rt:5,*
-1,73,Mf1,0,0,9,~Acquisition...lestnitsu2.wav,"0,0,0",2177,!Male/feminine/lestnitsu2.wav,"0,0,0",rt:5,*
-1,74,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,75,Mf2,0,0,9,~Acquisition...sobaku2.wav,"0,0,0",2171,!Male/feminine/sobaku2.wav,"0,0,0",rt:5,*
-1,76,Ff1,0,0,9,~Acquisition...roshchaoj2.wav,"0,0,0",2072,!Female/feminine/roshchaoj2.wav,"0,0,0",rt:5,*
-1,77,Ff2,0,0,9,~Acquisition...kodirovkaoj2.wav,"0,0,0",2170,!Female/feminine/kodirovkaoj2.wav,"0,0,0",rt:5,*
-1,78,Mm2,0,0,9,~Acquisition...tsenitelya2.wav,"0,0,0",2025,!Male/masculine/tsenitelya2.wav,"0,0,0",rt:5,*
-1,79,Mf2,0,0,9,~Acquisition...devushkoj2.wav,"0,0,0",2001,!Male/feminine/devushkoj2.wav,"0,0,0",rt:5,*
-1,80,Mm1,0,0,9,~Acquisition...parolyem2.wav,"0,0,0",2147,!Male/masculine/parolyem2.wav,"0,0,0",rt:5,*
-1,81,Mm1,0,0,9,~Acquisition...glukharyem2.wav,"0,0,0",2044,!Male/masculine/glukharyem2.wav,"0,0,0",rt:5,*
-1,82,Ff1,0,0,9,~Acquisition...gazetaoj2.wav,"0,0,0",2012,!Female/feminine/gazetaoj2.wav,"0,0,0",rt:5,*
-1,83,Fm2,0,0,9,~Acquisition...tselitelya2.wav,"0,0,0",2108,!Female/feminine/tselitelya2.wav,"0,0,0",rt:5,*
-1,84,Mf1,0,0,9,~Acquisition...vysotoy2.wav,"0,0,0",2195,!Male/feminine/vysotoy2.wav,"0,0,0",rt:5,*
-1,85,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,86,Mm2,0,0,9,~Acquisition...pravitelya2.wav,"0,0,0",2070,!Male/masculine/pravitelya2.wav,"0,0,0",rt:5,*
-1,87,Ff2,0,0,9,~Acquisition...vorovkaoj2.wav,"0,0,0",2104,!Female/feminine/vorovkaoj2.wav,"0,0,0",rt:5,*
-1,88,Fm1,0,0,9,~Acquisition...vratarya2.wav,"0,0,0",2094,!Female/feminine/vratarya2.wav,"0,0,0",rt:5,*
-1,89,Mf1,0,0,9,~Acquisition...bolnitsu2.wav,"0,0,0",2079,!Male/feminine/bolnitsu2.wav,"0,0,0",rt:5,*
-1,90,Fm2,0,0,9,~Acquisition...smotritelyem2.wav,"0,0,0",2097,!Female/masculine/smotritelyem2.wav,"0,0,0",rt:5,*
-1,91,null,0,0,9,~Null,"0,0,0",rt:5,*
-1,92,Ff2,0,0,9,~Acquisition...vetrrovkaoj2.wav,"0,0,0",2162,!Female/feminine/vetrrovkaoj2.wav,"0,0,0",rt:5,*
-1,93,Mf2,0,0,9,~Acquisition...karameljkoj2.wav,"0,0,0",2163,!Male/feminine/karameljkoj2.wav,"0,0,0",rt:5,*
-1,94,Mm1,0,0,9,~Acquisition...tjulyem2.wav,"0,0,0",2019,!Male/masculine/tjulyem2.wav,"0,0,0",rt:5,*
-1,95,Ff1,0,0,9,~Acquisition...dorogau2.wav,"0,0,0",2148,!Female/feminine/dorogau2.wav,"0,0,0",rt:5,*
-1,96,Ff1,0,0,9,~Acquisition...chistotaoj2.wav,"0,0,0",2159,!Female/feminine/chistotaoj2.wav,"0,0,0",rt:5,*
-1,97,Mm1,0,0,9,~Acquisition...ijunya2.wav,"0,0,0",2168,!Male/masculine/ijunya2.wav,"0,0,0",rt:5,*
-1,98,Mf1,0,0,9,~Acquisition...luzhitsoy2.wav,"0,0,0",2019,!Male/feminine/luzhitsoy2.wav,"0,0,0",rt:5,*
-1,99,Mm1,0,0,9,~Acquisition...tsarya2.wav,"0,0,0",2128,!Male/masculine/tsarya2.wav,"0,0,0",rt:5,*
-1,100,Mm1,0,0,9,~Acquisition...parolya2.wav,"0,0,0",2065,!Male/masculine/parolya2.wav,"0,0,0",rt:5,*
-1,101,Ff1,0,0,9,~Acquisition...dorogaoj2.wav,"0,0,0",2169,!Female/feminine/dorogaoj2.wav,"0,0,0",rt:5,*
-1,102,Mm1,0,0,9,~Acquisition...aprelyem2.wav,"0,0,0",2181,!Male/masculine/aprelyem2.wav,"0,0,0",rt:5,*
-1,103,Ff2,0,0,9,~Acquisition...tarelkau2.wav,"0,0,0",2175,!Female/feminine/tarelkau2.wav,"0,0,0",rt:5,*
-1,104,Fm1,0,0,9,~Acquisition...konyem2.wav,"0,0,0",2103,!Female/masculine/konyem2.wav,"0,0,0",rt:5,*
-1,105,Mm2,0,0,9,~Acquisition...razrushitelyem2.wav,"0,0,0",2055,!Male/masculine/razrushitelyem2.wav,"0,0,0",rt:5,*
-1,106,Fm1,0,0,9,~Acquisition...yantarya2.wav,"0,0,0",2165,!Female/feminine/yantarya2.wav,"0,0,0",rt:5,*
-1,107,Mm2,0,0,9,~Acquisition...obvinitelya2.wav,"0,0,0",2038,!Male/masculine/obvinitelya2.wav,"0,0,0",rt:5,*
-1,108,Mm2,0,0,9,~Acquisition...vikljuchatelya2.wav,"0,0,0",2074,!Male/masculine/vikljuchatelya2.wav,"0,0,0",rt:5,*
-1,109,Mf1,0,0,9,~Acquisition...koronu2.wav,"0,0,0",2041,!Male/feminine/koronu2.wav,"0,0,0",rt:5,*
-1,110,Fm2,0,0,9,~Acquisition...uchitelya2.wav,"0,0,0",2023,!Female/masculine/uchitelya2.wav,"0,0,0",rt:5,*
-1,111,Mf1,0,0,9,~Acquisition...raznitsoy2.wav,"0,0,0",2115,!Male/feminine/raznitsoy2.wav,"0,0,0",rt:5,*
-1,112,Fm1,0,0,9,~Acquisition...olenya2.wav,"0,0,0",2137,!Female/masculine/olenya2.wav,"0,0,0",rt:5,*
-1,113,Mf2,0,0,9,~Acquisition...vetochkoy2.wav,"0,0,0",2157,!Male/feminine/vetochkoy2.wav,"0,0,0",rt:5,*
-1,114,Mm2,0,0,9,~Acquisition...osvezhitelya2.wav,"0,0,0",2039,!Male/masculine/osvezhitelya2.wav,"0,0,0",rt:5,*
-1,115,Ff1,0,0,9,~Acquisition...kozhaoj2.wav,"0,0,0",2101,!Female/feminine/kozhaoj2.wav,"0,0,0",rt:5,*
-1,116,Fm2,0,0,9,~Acquisition...predatelyem2.wav,"0,0,0",2196,!Female/feminine/predatelyem2.wav,"0,0,0",rt:5,*
-1,117,Ff2,0,0,9,~Acquisition...konfetkau2.wav,"0,0,0",2036,!Female/feminine/konfetkau2.wav,"0,0,0",rt:5,*
