52.35	360816
X	360817
X	360814
50.95	360815
X	360818
X	360819
X	312287
X	312288
X	312289
38.2	412002
X	351203
X	351202
58.17	351201
X	360103
44.52	360104
58.17	351206
X	360106
59.26	351204
X	360108
X	310601
60.49	310602
X	351208
X	310604
X	310605
X	310606
X	310607
58.17	352305
56.26	352304
58.17	352303
60.49	352302
57.18	352301
X	150109
X	150108
59.26	420301
X	150101
X	150103
X	150102
X	150105
X	150104
X	150107
X	150106
X	130301
53.82	130303
45.31	130302
X	410244
X	110215
58.17	110214
34.2	110211
50.95	110210
58.17	110213
47.51	110212
X	310312
X	310313
48.9	310608
66.02	310310
X	310609
X	310311
X	351207
45.31	360105
59.17	351205
53.82	360107
X	390117
X	360109
X	410127
47.51	410120
61.92	310293
X	310292
X	310291
50.95	310603
55.41	310297
41.84	310296
X	310295
48.9	310294
66.02	310299
X	310298
X	311904
X	390210
X	311901
X	311902
51.65	311903
50.95	360801
X	410705
40.79	360803
53.08	360802
53.08	360805
60.49	410701
X	360807
44.52	410703
X	360809
63.67	360808
61.92	410708
60.49	410709
X	312291
X	312290
X	312293
X	312292
X	312295
52.35	312294
X	312297
X	312296
X	312299
X	312298
X	310617
63.67	310616
X	310615
60.49	310614
X	310613
X	310612
60.49	310611
58.17	310610
X	310619
X	310618
X	360118
51.65	360117
46.8	360116
58.17	360115
59.26	360114
X	360113
X	360112
X	360111
X	310274
66.02	310276
61.92	130103
X	310270
X	310503
X	310502
50.26	310501
X	130101
X	310505
50.26	310504
36.49	351308
56.26	351309
X	351302
X	351303
57.18	351301
X	351306
61.92	351307
X	351304
X	351305
X	370505
X	430101
X	370507
53.08	370506
50.26	370501
X	370503
56.26	370502
39.6	370508
39.6	352801
X	420208
X	420209
X	420202
X	420203
57.18	420201
43.69	420206
X	420207
48.21	420204
58.17	420205
X	120214
61.92	120212
60.49	120213
X	120210
X	120211
X	420516
57.18	420515
36.49	420512
X	420510
58.17	420511
50.95	260301
X	311404
59.26	260302
X	310268
58.17	310269
53.08	310266
53.82	310267
X	310264
X	310265
X	310262
X	310263
43.69	310260
X	310261
X	390401
X	311406
X	390310
X	390311
X	410713
66.02	410711
59.26	410710
59.26	410717
59.26	410716
49.58	410715
X	410714
X	410718
X	450205
X	450207
46.07	410156
X	410151
X	410153
59.26	410404
X	410402
X	410401
X	470303
58.17	351319
57.18	351318
47.51	351311
X	351310
X	351313
63.67	351312
X	351315
X	351314
X	351317
X	351316
46.8	440101
X	311108
X	311109
63.67	311104
63.67	311105
60.49	311106
52.35	311107
55.41	311101
X	311102
X	311103
X	310408
X	310409
X	310402
X	310403
X	310401
X	310406
X	310407
X	310404
X	310405
36.49	420219
X	420218
46.07	420211
X	420210
69.8	420213
X	420212
X	420215
44.52	420214
52.35	420217
52.35	420216
X	310316
X	310317
58.17	310314
58.17	310315
X	410241
57.18	410240
X	410243
58.17	410242
X	310318
60.49	351604
55.41	310208
52.35	351602
63.67	120205
X	120204
X	120207
X	120206
40.79	120201
X	120203
55.41	120202
X	120209
X	120208
44.52	420505
X	420504
X	420507
X	420501
X	420503
X	420502
56.26	420509
X	420508
X	310279
60.49	310278
54.6	310275
X	130106
56.15	310277
57.18	130104
41.84	310271
X	130102
X	310273
48.21	310272
66.02	411702
X	411701
X	360120
X	360121
X	390309
X	390308
69.8	390305
40.79	390304
X	390307
48.9	390306
46.8	390301
X	390303
41.84	390302
57.18	360822
57.18	360821
X	360820
X	360827
X	360826
X	360825
X	360824
60.49	410158
X	380403
X	380402
X	380401
X	380404
X	230328
X	230329
X	230326
X	230327
49.58	230324
X	230325
X	230322
X	230323
X	230320
X	230321
X	351324
46.07	351325
45.31	351326
X	351327
X	351320
X	351321
50.95	351322
57.18	351323
X	351328
X	351329
X	310290
61.92	311112
59.26	311111
X	311110
X	310419
X	350103
X	350102
49.58	310411
40.79	310410
X	310413
30.47	310412
42.8	310415
X	350101
X	310417
46.07	310416
38.2	310305
X	310304
X	310307
57.18	310306
X	310301
66.02	310303
X	310302
X	310309
X	310308
X	411905
X	411904
X	411906
52.35	411901
X	411903
66.02	411902
40.79	310248
59.26	310249
54.6	310240
X	310241
X	310242
69.8	310243
56.26	310244
X	310245
58.17	310246
56.26	310247
X	290203
X	290202
X	290201
X	290205
50.26	290204
X	411602
X	411603
49.58	411601
X	411606
X	411607
55.41	411604
66.02	411605
58.17	411608
X	390204
X	390205
X	390206
X	390207
X	390201
X	390202
X	390203
X	390208
X	390209
X	230331
63.67	230330
X	230332
X	390110
X	390111
X	313306
X	390113
X	390114
X	390115
X	390116
66.02	313303
X	310648
54.6	310649
X	310644
56.26	310645
56.26	310646
X	310647
X	310640
X	310642
55.41	310643
X	351333
X	351337
X	351336
46.8	351335
X	351334
X	351339
X	351338
53.82	340210
X	310327
X	351860
44.52	410210
50.26	310323
X	310424
X	310425
52.35	310426
X	310427
66.02	350110
48.9	410214
X	310422
X	310423
X	310428
X	310429
X	320303
X	340901
X	310330
66.02	310331
X	310332
X	310333
X	310334
61.92	310335
X	310336
X	310337
50.26	310338
X	310339
50.95	410204
57.18	310257
66.02	310256
61.92	310255
X	310254
X	310253
X	310252
X	310251
X	310250
57.18	310259
X	310258
45.31	311301
X	410704
44.52	410706
X	410707
X	360804
X	410702
X	360806
34.2	412001
X	412003
54.6	290301
54.6	411611
X	411610
X	351852
X	351853
52.35	351850
X	351851
X	351859
53.82	410326
X	250206
52.35	360202
X	360201
X	280401
X	390212
44.52	390211
69.8	250204
55.41	410322
60.49	250202
X	250201
54.6	411101
