Old Word	Best	Candidate1	Candidate2
Female/C_masculine/Portfelya	Female/C_masculine/portfelya	Female/C_masculine/portfelyem	None
Female/C_feminine/Brujunetkau	Female/C_feminine/brujunetkau	Female/C_feminine/brjunetkau	Female/C_feminine/brujunetkaoj
Male/C_feminine/Khlopushkaoj	Male/C_feminine/khlopushkoj	None	None
Male/C_feminine/Vetochkau	Male/C_feminine/vetochku	None	None
Female/C_feminine/Pogodau	Female/C_feminine/pogodau	Female/C_feminine/pogodaoj	None
Female/C_feminine/Krazhaoj	Female/C_feminine/krazhaoj	Female/C_feminine/Karataoj	Female/C_feminine/krazhau
Male/C_feminine/Petrushkau	Male/C_feminine/petrushku	None	None
Female/C_feminine/roshchau	Female/C_feminine/roshchau	Female/C_feminine/roshchaoj	Female/C_feminine/rozochkau
Male/C_feminine/Pogremushkau	Male/C_feminine/pogremushku	None	None
Female/C_masculine/Ryttsarya	None	None	None
Male/C_masculine/injulya	Male/C_masculine/ijulya	Male/C_masculine/tjulya	Male/C_masculine/ijunya
Female/C_feminine/Kodirovkau	Female/C_feminine/koderovkau	Female/C_feminine/vorovkau	Female/C_feminine/kodirovkaoj
Male/C_masculine/Tselitelyem	Male/C_masculine/tselitelyem	Male/C_masculine/tsenitelyem	None
Female/C_feminine/komnatau	Female/C_feminine/komnatau	Female/C_feminine/komnataoj	Female/C_feminine/konfetkau
Male/C_feminine/jubochkau	Male/C_feminine/jubochku	Male/C_feminine/trubochku	Male/C_feminine/jubochkoj
Male/C_masculine/Sozidatelyem	Male/C_masculine/sozidatelyem	Male/C_masculine/sozidatelya	None
Male/C_masculine/Dushitelyem	Male/C_masculine/dushitelyem	Male/C_masculine/razrushitelyem	Male/C_masculine/slushatelyem
Male/C_masculine/Obvinitelyem	Male/C_masculine/obvinitelyem	Male/C_masculine/obvinitelya	None
Male/C_masculine/Vykljuchatelya	Male/C_masculine/vikljuchatelya	None	None
Male/C_masculine/Pravitelya	Male/C_masculine/pravitelya	Male/C_masculine/grabitelya	Male/C_masculine/pravitelyem
Male/C_feminine/Prodavshchistau	None	None	None
Male/C_feminine/Trubochkau	Male/C_feminine/trubochku	Male/C_feminine/jubochku	None
Female/C_feminine/Vystavkaoj	Female/C_feminine/vystavakaoj	Female/C_feminine/vystavkau	None
Male/C_masculine/janvaryem	Male/C_masculine/janvarya	Male/C_masculine/fonaryem	None
Female/C_masculine/Penyem	Female/C_masculine/penyem	Female/C_masculine/olenyem	Female/C_masculine/kamenyem
Male/C_masculine/Tjulya	Male/C_masculine/tjulya	Male/C_masculine/ijulya	Male/C_masculine/rublya
Female/C_feminine/Raketaoj	Female/C_feminine/raketaoj	Female/C_feminine/gazetaoj	Female/C_feminine/raketau
Female/C_feminine/Konfetkaoj	Female/C_feminine/konfetkaoj	Female/C_feminine/konfetkau	None
Male/C_masculine/Grabitelyem	Male/C_masculine/grabitelyem	Male/C_masculine/pravitelyem	Male/C_masculine/grabitelya
Female/C_masculine/Khranitelya	Female/C_masculine/khranitelya	Female/C_masculine/khranitelyem	None
Male/C_feminine/Karameljka	Male/C_feminine/karameljkoj	Male/C_feminine/karamelku	None
Male/C_masculine/Potrebitelya	Male/C_masculine/potrebitelya	Male/C_masculine/potrebitelyem	None
Female/C_masculine/Olenyem	Female/C_masculine/olenyem	Female/C_masculine/penyem	Female/C_masculine/kamenyem
Male/C_feminine/Petrushkaoj	Male/C_feminine/petrushkoy	None	None
Male/C_masculine/Slesarya	Male/C_masculine/slesarya	Male/C_masculine/tsarya	Male/C_masculine/slesaryem
Female/C_feminine/Tysjachau	Female/C_feminine/tysjachau	Female/C_feminine/tysjachaoj	None
Female/C_feminine/Dvukhvostkaoj	Female/C_feminine/dvukhvostkaoj	None	None
Female/C_masculine/Kamenya	Female/C_masculine/kamenya	Female/C_masculine/penya	Female/C_masculine/denya
Female/C_feminine/Zhenschinau	Female/C_feminine/zhenschinau	None	None
Male/C_feminine/Bolnitsau	Male/C_feminine/bolnitsu	Male/C_feminine/kolesnitsu	None
Male/C_feminine/Snezhinkau	Male/C_feminine/snezhinku	None	None
Female/C_masculine/Urovenyem	Female/C_masculine/urovenyem	Female/C_masculine/olenyem	Female/C_masculine/penyem
Female/C_masculine/Voditelyem	Female/C_masculine/voditelyem	Female/C_masculine/stroitelyem	Female/C_masculine/sozdatelyem
Male/C_feminine/Raznitsau	Male/C_feminine/raznitsu	None	None
Female/C_feminine/Kryshau	Female/C_feminine/kryshau	Female/C_feminine/roshchau	Female/C_feminine/kryshaoj
