Eng.Displ,Cyl,Transm,MPG
3.7,6,Autom,25.0867
3.5,6,Autom,28.0858
3.7,6,Autom,27.6434
1.6,4,Autom,43.957
3.5,6,Autom,23.5079
3.5,6,Autom,24.9967
3.0,6,Autom,26.5451
2.5,4,Autom,32.4768
3.5,6,Autom,27.3331
3.0,6,Autom,29.7599
3.0,6,Autom,26.5451
3.0,6,Autom,29.7599
3.5,6,Autom,25.5443
3.5,6,Autom,23.5079
3.7,6,Autom,23.46
3.5,6,Autom,25.0172
3.5,6,Autom,25.0867
3.5,6,Autom,27.6434
3.5,6,Autom,24.9967
3.5,6,Autom,27.3331
3.5,6,Autom,25.5443
3.5,6,Autom,27.3331
3.6,6,Autom,28.3773
6.2,8,Autom,24.0919
6.2,8,Autom,23.0737
1.4,4,Autom,37.1714
3.6,6,Autom,28.3773
3.0,6,Autom,28.1224
6.2,8,Autom,17.8122
3.6,6,Autom,27.2272
3.0,6,Autom,26.7159
3.6,6,Autom,27.0732
3.0,6,Autom,28.1224
3.6,6,Autom,27.2272
3.0,6,Autom,26.7159
2.4,4,Autom,29.65
3.6,6,Autom,26.2268
3.6,6,Autom,25.4488
2.4,4,Autom,34.0141
3.6,6,Autom,25.8562
2.4,4,Autom,34.0379
2.4,4,Autom,30.1006
3.0,6,Autom,26.3378
3.0,6,Autom,25.026
2.8,6,Autom,23.0243
3.6,6,Autom,28.3773
3.6,6,Autom,27.2272
3.5,6,Autom,23.0111
5.0,8,Autom,22.3281
5.0,8,Autom,24.1657
5.0,8,Autom,24.1657
5.0,8,Autom,22.3281
5.0,8,Autom,22.9915
5.0,8,Autom,22.4275
5.0,8,Autom,24.071
5.0,8,Autom,23.3123
3.2,6,Autom,22.549
5.0,8,Autom,18.2516
5.0,8,Autom,17.5298
5.0,8,Autom,18.5242
5.0,8,Autom,17.4735
5.0,8,Autom,18.631
3.7,6,Autom,25.1945
3.7,6,Autom,24.0116
3.7,6,Autom,26.4614
2.0,4,Autom,30.5984
1.3,2,Autom,24.2445
3.0,6,Autom,28.7878
3.0,6,Autom,27.2033
6.7,12,Autom,17.2718
6.7,12,Autom,17.2718
6.7,12,Autom,17.2718
6.7,12,Autom,17.2718
3.5,6,Autom,29.9842
2.5,4,Autom,33.621
3.5,6,Autom,29.9842
3.5,6,Autom,28.1461
3.5,6,Autom,26.6628
4.6,8,Autom,21.9921
2.7,4,Autom,29.1864
2.5,6,Autom,29.1661
2.5,6,Autom,32.1836
3.5,6,Autom,26.6628
3.5,6,Autom,29.3998
5.7,8,Autom,18.9488
5.7,8,Autom,18.3211
4.6,8,Autom,21.0806
5.7,8,Autom,19.9457
4.6,8,Autom,19.824
5.7,8,Autom,18.8827
5.7,8,Autom,18.352
3.5,6,Autom,26.6873
2.7,4,Autom,29.4225
3.5,6,Autom,23.3516
2.5,4,Autom,33.8508
4.6,8,Autom,21.7198
5.7,8,Autom,20.2094
4.6,8,Autom,20.5836
